old_path,new_path,method
/life-in-the-big-smoke/,/life-in-the-big-smoke/,same
/best-day-of-the-week-to-travel-to-avoid-crowds/,/best-day-of-the-week-to-travel-to-avoid-crowds/,same
/where-to-stay-for-the-albuquerque-hot-air-balloon-fiesta/,/where-to-stay-for-the-albuquerque-hot-air-balloon-fiesta/,same
/having-fun-flying-with-little-kids/,/having-fun-flying-with-little-kids/,same
/what-room-am-i-staying-in/,/what-room-am-i-staying-in/,same
/a-pub-crawl-on-horse-back/,/a-pub-crawl-on-horse-back/,same
/dans-bar-crawl/,/dans-bar-crawl/,same
/9th-ward-bicycle-tour-in-new-orleans/,/9th-ward-bicycle-tour-in-new-orleans/,same
/spring-break-in-washington-dc/,/spring-break-in-washington-dc/,same
/trains-snow-and-hot-springs/,/trains-snow-and-hot-springs/,same
/a-suprisingly-good-time-in-oklahoma-city/,/a-suprisingly-good-time-in-oklahoma-city/,same
/discover-the-secret-to-a-vacation-close-to-home/,/discover-the-secret-to-a-vacation-close-to-home/,same
/the-secret-to-getting-lots-of-travel-miles/,/the-secret-to-getting-lots-of-travel-miles/,same
/nine-lives-death-and-life-in-new-orleans/,/nine-lives-death-and-life-in-new-orleans/,same
/whats-the-deal-with-uber/,/whats-the-deal-with-uber/,same
/how-to-make-350-in-6-hours-is-it-worth-it/,/how-to-make-350-in-6-hours-is-it-worth-it/,same
/berlin-street-art/,/berlin-street-art/,same
/why-i-love-the-marigny-and-bywater-neighborhoods/,/why-i-love-the-marigny-and-bywater-neighborhoods/,same
/how-to-do-a-palisade-peach-and-wine-tour/,/how-to-do-a-palisade-peach-and-wine-tour/,same
/5-things-to-take-to-the-new-orleans-jazz-festival/,/5-things-to-take-to-the-new-orleans-jazz-festival/,same
/biking-across-south-korea-a-family-adventure/,/biking-across-south-korea-a-family-adventure/,same
/breakfast-at-30000-feet/,/breakfast-at-30000-feet/,same
/a-glimpse-of-germany/,/a-glimpse-of-germany/,same
/flying-over-the-alps/,/flying-over-the-alps/,same
/temple-of-mithros-with-a-sleep-y/,/temple-of-mithros-with-a-sleep-y/,same
